Date,Joueurs,Mise,P-R1,W-R1,P-R2,W-R2,P-R3,W-R3,P-R4,W-R4,P-R5,W-R5,P-R6,W-R6,grilles,pay1,pay2,pay3,pay4,pay5,pay6,payout
2024-08-19,81107.0,415600.0,0.0,0.0,0.0,0.0,10.0,82.0,385.0,35.6,5342.0,4.9,30179.0,2.5,166240,0.0,0.0,820.0,13706.0,26175.800000000003,75447.5,116149.3
2024-08-22,79314.0,410347.5,0.0,0.0,0.0,0.0,10.0,112.4,358.0,41.6,5040.0,5.5,29836.0,2.5,164139,0.0,0.0,1124.0,14892.800000000001,27720.0,74590.0,118326.8
2024-08-26,79065.0,410302.5,0.0,0.0,0.0,0.0,18.0,105.2,317.0,41.0,5335.0,5.0,30556.0,2.5,164121,0.0,0.0,1893.6000000000001,12997.0,26675.0,76390.0,117955.6
2024-08-29,80332.0,418855.0,0.0,0.0,0.0,0.0,8.0,138.1,344.0,44.7,5135.0,5.4,30199.0,2.5,167542,0.0,0.0,1104.8,15376.800000000001,27729.000000000004,75497.5,119708.1
2024-09-02,81486.0,422825.0,0.0,0.0,0.0,0.0,9.0,93.2,338.0,43.3,5200.0,5.6,30295.0,2.5,169130,0.0,0.0,838.8000000000001,14635.4,29119.999999999996,75737.5,120331.7
2024-09-05,78872.0,408295.0,0.0,0.0,1.0,120000.0,14.0,92.9,385.0,40.3,5043.0,5.2,29337.0,2.5,163318,0.0,120000.0,1300.6000000000001,15515.499999999998,26223.600000000002,73342.5,236382.2
2024-09-09,80808.0,418365.0,0.0,0.0,0.0,0.0,22.0,34.7,584.0,22.8,6274.0,3.7,32510.0,2.5,167346,0.0,0.0,763.4000000000001,13315.2,23213.800000000003,81275.0,118567.4
2024-09-12,74018.0,382112.5,0.0,0.0,0.0,0.0,3.0,171.8,253.0,61.1,4051.0,7.4,25119.0,2.5,152845,0.0,0.0,515.4000000000001,15458.300000000001,29977.4,62797.5,108748.6
2024-09-16,75006.0,391830.0,0.0,0.0,0.0,0.0,7.0,148.2,337.0,46.1,5029.0,5.6,28230.0,2.5,156732,0.0,0.0,1037.3999999999999,15535.7,28162.399999999998,70575.0,115310.5
2024-09-19,73610.0,380832.5,0.0,0.0,1.0,120000.0,4.0,112.8,284.0,48.5,4518.0,5.7,27290.0,2.5,152333,0.0,120000.0,451.2,13774.0,25752.600000000002,68225.0,228202.80000000002
2024-09-23,76350.0,395375.0,0.0,0.0,0.0,0.0,6.0,120.2,320.0,49.0,4432.0,5.8,27735.0,2.5,158150,0.0,0.0,721.2,15680.0,25705.6,69337.5,111444.3
2024-09-26,75062.0,391067.5,0.0,0.0,0.0,0.0,9.0,125.2,309.0,44.7,4507.0,5.7,27978.0,2.5,156427,0.0,0.0,1126.8,13812.300000000001,25689.9,69945.0,110574.0
2024-09-30,77880.0,404305.0,0.0,0.0,0.0,0.0,12.0,105.2,371.0,35.8,5247.0,4.8,29999.0,2.5,161722,0.0,0.0,1262.4,13281.8,25185.6,74997.5,114727.29999999999
2024-10-03,87256.0,434180.0,0.0,0.0,0.0,0.0,8.0,103.4,398.0,38.4,5506.0,5.0,31788.0,2.5,173672,0.0,0.0,827.2,15283.199999999999,27530.0,79470.0,123110.4
2024-10-07,102392.0,484590.0,0.0,0.0,0.0,0.0,39.0,43.5,490.0,38.4,5945.0,5.5,34104.0,2.5,193836,0.0,0.0,1696.5,18816.0,32697.5,85260.0,138470.0
2024-10-10,97422.0,473617.5,0.0,0.0,0.0,0.0,5.0,115.6,397.0,40.5,5851.0,5.1,34235.0,2.5,189447,0.0,0.0,578.0,16078.5,29840.1,85587.5,132084.1
2024-10-14,101169.0,485245.0,0.0,0.0,0.0,0.0,11.0,105.0,419.0,37.5,6138.0,5.0,35782.0,2.5,194098,0.0,0.0,1155.0,15712.5,30690.0,89455.0,137012.5
2024-10-17,90446.0,446412.5,0.0,0.0,0.0,0.0,13.0,97.1,342.0,43.6,5277.0,5.8,31049.0,2.5,178565,0.0,0.0,1262.3,14911.2,30606.6,77622.5,124402.6
2024-10-21,86059.0,429052.5,0.0,0.0,0.0,0.0,6.0,137.1,358.0,47.5,5125.0,5.7,30978.0,2.5,171621,0.0,0.0,822.5999999999999,17005.0,29212.5,77445.0,124485.1
2024-10-24,86730.0,434432.5,0.0,0.0,0.0,0.0,8.0,103.1,353.0,38.3,5463.0,4.9,32420.0,2.5,173773,0.0,0.0,824.8,13519.9,26768.7,81050.0,122163.4
2024-10-28,85223.0,424620.0,0.0,0.0,0.0,0.0,7.0,48.1,424.0,22.6,5915.0,3.4,32845.0,2.5,169848,0.0,0.0,336.7,9582.400000000001,20111.0,82112.5,112142.6
2024-10-31,91812.0,468477.5,0.0,0.0,0.0,0.0,12.0,81.9,480.0,35.3,6312.0,4.8,34672.0,2.5,187391,0.0,0.0,982.8000000000001,16944.0,30297.6,86680.0,134904.4
2024-11-04,72834.0,371572.5,0.0,0.0,0.0,0.0,3.0,202.1,282.0,65.0,4013.0,7.6,23916.0,2.5,148629,0.0,0.0,606.3,18330.0,30498.8,59790.0,109225.1
2024-11-07,80027.0,418557.5,0.0,0.0,0.0,0.0,17.0,113.3,337.0,44.1,4797.0,5.6,29112.0,2.5,167423,0.0,0.0,1926.1,14861.7,26863.199999999997,72780.0,116431.0
2024-11-11,82603.0,413647.5,0.0,0.0,0.0,0.0,4.0,119.6,344.0,40.2,5096.0,5.1,30489.0,2.5,165459,0.0,0.0,478.4,13828.800000000001,25989.6,76222.5,116519.3
2024-11-14,86628.0,441105.0,0.0,0.0,0.0,0.0,8.0,166.9,308.0,54.2,5034.0,6.5,31034.0,2.5,176442,0.0,0.0,1335.2,16693.600000000002,32721.0,77585.0,128334.8
2024-11-18,90154.0,454490.0,0.0,0.0,0.0,0.0,17.0,68.4,447.0,29.4,6176.0,4.1,34433.0,2.5,181796,0.0,0.0,1162.8000000000002,13141.8,25321.6,86082.5,125708.7
2024-11-21,88764.0,445850.0,0.0,0.0,0.0,0.0,8.0,164.0,348.0,51.9,5129.0,6.2,31733.0,2.5,178340,0.0,0.0,1312.0,18061.2,31799.8,79332.5,130505.5
2024-11-25,98890.0,497587.5,0.0,0.0,0.0,0.0,11.0,58.5,605.0,25.4,7209.0,3.7,38694.0,2.5,199035,0.0,0.0,643.5,15367.0,26673.300000000003,96735.0,139418.8
2024-11-28,90071.0,459897.5,0.0,0.0,0.0,0.0,9.0,128.6,360.0,48.6,5393.0,6.1,32633.0,2.5,183959,0.0,0.0,1157.3999999999999,17496.0,32897.299999999996,81582.5,133133.2
2024-12-02,79131.0,404387.5,0.0,0.0,0.0,0.0,12.0,88.5,396.0,35.4,5080.0,5.0,29308.0,2.5,161755,0.0,0.0,1062.0,14018.4,25400.0,73270.0,113750.4
2024-12-05,75244.0,389080.0,0.0,0.0,0.0,0.0,10.0,86.6,347.0,35.9,5252.0,4.7,29271.0,2.5,155632,0.0,0.0,866.0,12457.3,24684.4,73177.5,111185.2
2024-12-09,74919.0,387480.0,0.0,0.0,0.0,0.0,7.0,99.3,297.0,41.8,4562.0,5.4,27186.0,2.5,154992,0.0,0.0,695.1,12414.599999999999,24634.800000000003,67965.0,105709.5
2024-12-12,74094.0,381902.5,0.0,0.0,0.0,0.0,8.0,90.0,412.0,31.3,5626.0,4.2,29488.0,2.5,152761,0.0,0.0,720.0,12895.6,23629.2,73720.0,110964.8
2024-12-16,76667.0,398382.5,0.0,0.0,0.0,0.0,4.0,110.3,334.0,35.7,4945.0,4.6,29122.0,2.5,159353,0.0,0.0,441.2,11923.800000000001,22747.0,72805.0,107917.0
2024-12-19,75529.0,392292.5,0.0,0.0,0.0,0.0,7.0,89.2,322.0,36.9,4971.0,4.5,29398.0,2.5,156917,0.0,0.0,624.4,11881.8,22369.5,73495.0,108370.7
2024-12-23,77750.0,409660.0,0.0,0.0,0.0,0.0,13.0,81.3,314.0,43.1,5038.0,5.5,29570.0,2.5,163864,0.0,0.0,1056.8999999999999,13533.4,27709.0,73925.0,116224.3
2024-12-26,71702.0,372597.5,0.0,0.0,0.0,0.0,9.0,93.9,455.0,37.7,5127.0,5.0,27590.0,2.5,149039,0.0,0.0,845.1,17153.5,25635.0,68975.0,112608.6
2024-12-30,79086.0,417345.0,0.0,0.0,0.0,0.0,6.0,72.7,394.0,33.4,5524.0,4.5,31237.0,2.5,166938,0.0,0.0,436.20000000000005,13159.599999999999,24858.0,78092.5,116546.3
2025-01-02,78357.0,406060.0,0.0,0.0,0.0,0.0,13.0,118.4,300.0,45.6,4715.0,5.8,28119.0,2.5,162424,0.0,0.0,1539.2,13680.0,27347.0,70297.5,112863.7
2025-01-06,78029.0,399627.5,0.0,0.0,0.0,0.0,4.0,135.6,306.0,46.2,4842.0,5.9,27644.0,2.5,159851,0.0,0.0,542.4,14137.2,28567.800000000003,69110.0,112357.4
2025-01-09,71759.0,363195.0,0.0,0.0,0.0,0.0,16.0,92.6,373.0,39.3,4913.0,5.2,26964.0,2.5,145278,0.0,0.0,1481.6,14658.9,25547.600000000002,67410.0,109098.1
2025-01-13,78248.0,396297.5,0.0,0.0,0.0,0.0,8.0,115.0,336.0,37.9,4883.0,4.9,29445.0,2.5,158519,0.0,0.0,920.0,12734.4,23926.7,73612.5,111193.6
2025-01-16,74066.0,373927.5,0.0,0.0,0.0,0.0,11.0,87.7,364.0,38.3,4967.0,5.2,27351.0,2.5,149571,0.0,0.0,964.7,13941.199999999999,25828.4,68377.5,109111.8
2025-01-20,83134.0,414690.0,0.0,0.0,0.0,0.0,7.0,108.7,363.0,41.4,5136.0,5.2,30347.0,2.5,165876,0.0,0.0,760.9,15028.199999999999,26707.2,75867.5,118363.8
2025-01-23,74458.0,372735.0,0.0,0.0,0.0,0.0,10.0,97.8,347.0,35.8,4915.0,4.6,27471.0,2.5,149094,0.0,0.0,978.0,12422.599999999999,22609.0,68677.5,104687.1
2025-01-27,81879.0,408890.0,0.0,0.0,0.0,0.0,9.0,93.1,409.0,37.2,5183.0,5.0,29998.0,2.5,163556,0.0,0.0,837.9,15214.800000000001,25915.0,74995.0,116962.7
